part_number,manufacturer,family,description,component_type,target_file,verified_url
7440329002,Wurth Elektronik,WE-LQ,SMT HF-Drossel WE-LQ,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440329002.pdf
744042101,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744042101.pdf
744052680,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744052680.pdf
744878006,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""S""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744878006.pdf
74456022,Wurth Elektronik,WE-PD,WE-PD4 SMT Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74456022.pdf
744870680,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""XL""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744870680.pdf
744053270,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744053270.pdf
744053330,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744053330.pdf
7440329004,Wurth Elektronik,WE-LQ,SMT HF-Drossel WE-LQ,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440329004.pdf
744062470,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744062470.pdf
7448709100,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""XXL""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7448709100.pdf
74476628,Wurth Elektronik,WE-GF,WE-GF SMT Wire Wound Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74476628.pdf
744030002,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744030002.pdf
7445530,Wurth Elektronik,WE-PD,WE-PD4 SMT Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7445530.pdf
744030001,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744030001.pdf
74455233,Wurth Elektronik,WE-PD,WE-PD4 SMT Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74455233.pdf
744870006,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""XL""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744870006.pdf
744871006,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""L""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744871006.pdf
744053680,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744053680.pdf
744043330,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744043330.pdf
74456082,Wurth Elektronik,WE-PD,WE-PD4 SMT Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74456082.pdf
74455247,Wurth Elektronik,WE-PD,WE-PD4 SMT Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74455247.pdf
74456382,Wurth Elektronik,WE-PD,WE-PD4 SMT Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74456382.pdf
74456056,Wurth Elektronik,WE-PD,WE-PD4 SMT Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74456056.pdf
744043152,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744043152.pdf
744742103,Wurth Elektronik,WE-TI,WE-TI Radial Leaded Wire Wound Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744742103.pdf
744742223,Wurth Elektronik,WE-TI,WE-TI Radial Leaded Wire Wound Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744742223.pdf
744030003,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744030003.pdf
744062102,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744062102.pdf
7445306,Wurth Elektronik,WE-PD,WE-PD3 SMT Shielded Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7445306.pdf
744062151,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744062151.pdf
744870151,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""XL""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744870151.pdf
744043151,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744043151.pdf
74454239,Wurth Elektronik,WE-PD,WE-PD3 SMT Shielded Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/74454239.pdf
744043221,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744043221.pdf
744065001,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744065001.pdf
744052221,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744052221.pdf
7440650015,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440650015.pdf
7440650022,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440650022.pdf
7440650068,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440650068.pdf
7440650082,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440650082.pdf
744065101,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744065101.pdf
7440660015,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440660015.pdf
7440660022,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440660022.pdf
7440660035,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440660035.pdf
744066005,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744066005.pdf
744066100,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744066100.pdf
744066101,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744066101.pdf
744066150,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744066150.pdf
744066221,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744066221.pdf
744066680,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744066680.pdf
744066331,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744066331.pdf
744066330,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744066330.pdf
